7247	20761	13995	14
9698	28109	18890	19
8483	24468	16464	16
7977	22942	15449	15
8052	23169	15600	15
7121	20387	13745	14
4373	13206	8784	9
8843	25553	17186	17
4361	13220	8785	9
8905	25728	17304	17
9511	27551	18517	19
9397	27223	18297	18
8794	25370	17070	17
7097	20317	13698	14
9582	27781	18668	19
8935	25847	17378	17
7920	22779	15339	15
6954	19889	13413	13
8835	25493	17152	17
8874	25663	17256	17
7117	20380	13739	14
9437	27344	18377	18
9548	27628	18575	19
7146	20534	13831	14
4345	13178	8756	9
8125	23386	15744	16
4319	13373	8841	9
9440	27345	18379	19
4218	13060	8634	9
7968	22916	15431	15
8103	23328	15704	16
4266	13121	8689	9
9459	27399	18415	18
8454	24360	16396	17
7821	22492	15146	15
6869	19644	13248	13
9860	28613	19223	19
9588	27793	18676	19
4404	13352	8872	9
8624	24887	16743	17
4212	12973	8588	9
4283	13011	8642	9
7480	21474	14467	15
4324	12990	8652	9
9006	26027	17504	17
4303	12925	8609	9
4365	13291	8823	9
8987	25981	17472	17
6187	17673	11922	14
8657	24992	16813	17
4324	13055	8684	9
9097	26309	17690	18
9283	26859	18058	18
9316	26970	18130	19
7087	20291	13680	14
8025	23066	15535	15
8992	25991	17480	17
7042	20147	13585	14
4180	12820	8495	9
9717	28159	18924	19
7070	20249	13651	14
8774	25321	17035	17
9135	26419	17765	18
9793	28408	19087	19
7056	20202	13620	14
8427	24270	16337	16
9643	27966	18791	19
7094	20311	13693	14
7024	20089	13548	14
9495	27511	18490	18
8138	23409	15763	16
7081	20293	13679	14
9135	26411	17760	18
8621	24887	16743	17
6949	19878	13405	14
8790	25395	17080	17
8779	25343	17048	17
9843	28560	19188	19
8873	25673	17262	17
7916	22786	15341	15
9375	27162	18255	18
7115	20380	13738	14
9680	28061	18856	19
8644	24988	16805	16
8270	23814	16031	16
9055	26157	17593	18
9330	27000	18152	18
8098	23318	15697	16
7120	20393	13748	14
8702	25098	16889	17
9291	26916	18090	18
9649	27973	18797	18
9601	27811	18692	19
9135	26443	17777	18
9499	27544	18508	18
7132	20404	13759	14
9499	27475	18473	19
4290	13133	8706	9
6878	19667	13264	13
8086	23272	15669	16
